your name. (movie)	Amuse
Fullmetal Alchemist: Brotherhood (TV)	Aniplex
Steins;Gate (TV)	Katsuharu Nagata
Clannad After Story (TV)	Tokyo Broadcasting System
Rurouni Kenshin: Trust & Betrayal (OAV)	Aniplex
Code Geass: Lelouch of the Rebellion R2 (TV)	Bandai Co., Ltd.
Spirited Away (movie)	Studio Ghibli
A Silent Voice (movie)	ABC Animation
Cowboy Bebop (TV)	Bandai Visual
Mushishi: The Next Chapter (TV)	Atsushi Suzuki
Princess Mononoke (movie)	Dentsu Inc.
(The) Disappearance of Haruhi Suzumiya (movie)	Kadokawa Pictures
(The) Legend of the Galactic Heroes (OAV)	K Factory
Mushi-Shi (TV)	avex entertainment
Death Note (TV)	D.N. Dream Partners
Made in Abyss (TV)	Crystal Ruiz
Maria Watches Over Us 3rd Season (OAV)	d-rights
Maria Watches Over Us Season 2: Printemps (TV)	d-rights
Gintama' (TV 2/2011)	Dentsu Inc.
Code Geass: Lelouch of the Rebellion (TV)	Bandai Co., Ltd.
Descending Stories: Showa Genroku Rakugo Shinju (TV)	unknown
anohana: The Flower We Saw That Day (TV)	Atsushi Terada
Maria Watches Over Us 4th Season (TV)	d-rights
Gintama' (TV 3/2012)	unknown
Gintama (TV 4/2015)	unknown
Bunny Drop (TV)	Dentsu Inc.
Evangelion: 2.0 You Can (Not) Advance (movie)	Khara
Monster (TV)	Madhouse
Grave of the Fireflies (movie)	Seraphim Digital
Ghost in the Shell: Stand Alone Complex 2nd GIG (TV)	Bandai Entertainment
Cross Game (TV)	Shogakukan-Shueisha Productions
Summer Wars (movie)	Fumihiro Hirai
Fighting Spirit (TV)	VAP
Fullmetal Alchemist (TV)	Aniplex
Hunter × Hunter (TV 2011)	Madhouse
Nodame Cantabile (TV)	Kouichi Uchida
(The) Girl Who Leapt Through Time (movie)	Haruo Kawashima
Nausicaä of the Valley of the Wind (movie)	Toru Hara
5 Centimeters Per Second (movie)	CoMix Wave Films
Gurren Lagann (TV)	Aniplex
(The) Garden of Sinners (movie series)	Aniplex
Wolf Children (movie)	Fumihiro Hirai
My Neighbor Totoro (movie)	Studio Ghibli
Baccano! (TV)	Aniplex
Natsume's Book of Friends (TV 4)	NAS
Honey and Clover II (TV)	Kouichi Uchida
Gintama: The Final Movie	Aniplex
Hajime no Ippo: New Challenger (TV)	D.N. Dream Partners
Kanon (TV 2/2006)	Hyakkaya
GTO: Great Teacher Onizuka (TV)	Aniplex
Kino's Journey (TV)	A.C.G.T
Star Blazers 2199 (TV)	Bandai Co., Ltd.
Howl's Moving Castle (movie)	Howl's Moving Castle Production Committee
Time of Eve (ONA)	Directions, Inc.
Puella Magi Madoka Magica (TV)	Aniplex
Mushishi Tokubetsu-hen: Hihamukage (special)	Aniplex
Natsume's Book of Friends (TV 2)	unknown
Millennium Actress (movie)	Bandai Visual
Time of Eve (movie)	Directions, Inc.
Monogatari Series Second Season (TV)	Aniplex
Kaleido Star (TV)	HoriPro
Mononoke (TV)	Asmik Ace Entertainment, Inc.
Kids on the Slope (TV)	Dentsu Inc.
Natsume's Book of Friends (TV 3)	Aniplex
(The) Melancholy of Haruhi Suzumiya (TV)	Kadokawa Pictures
Gankutsuou: The Count of Monte Cristo (TV)	GONZO
Clannad (TV)	Tokyo Broadcasting System
Planetes (TV)	Bandai Visual
NANA (TV)	Madhouse
Looking Up At The Half-Moon (TV)	Pony Canyon
Castle in the Sky (movie)	Toru Hara
Whisper of the Heart (movie)	Shueisha
Your Lie in April (TV)	Aniplex
Samurai Champloo (TV)	Barnum Studio
Ouran High School Host Club (TV)	BONES
A Place Further Than the Universe (TV)	AT-X
(The) Beast Player Erin (TV)	NHK Enterprises
Gurren Lagann the Movie – The Lights in the Sky Are Stars	Aniplex
March comes in like a lion (TV 2)	Aniplex
Haikyu!! Second Season (TV)	Crystal Ruiz
Ghost in the Shell: Stand Alone Complex (TV)	Animax
Maria Watches Over Us (TV)	d-rights
Aria the Origination (TV)	ARIA Company
Spice and Wolf II (TV)	Kadokawa Pictures
Moribito - Guardian of the Spirit (TV)	Dentsu Inc.
Haikyu!! (TV 3)	Keiji Ota
Angel Beats! (TV)	Aniplex
ef: a tale of melodies (TV)	ef Production Committe
Mushishi: Zoku-Shō: Suzu no Shizuku (movie)	unknown
ef: a tale of memories (TV)	ef Production Committe
Black Lagoon: The Second Barrage (TV)	Black Lagoon Production Team
Welcome to the NHK (TV)	NHK ni Youkoso! Production Team
Re:ZERO -Starting Life in Another World- (TV)	Media Factory
Honey and Clover (TV)	Kouichi Uchida
(The) Tale of the Princess Kaguya (movie)	Koji Hoshino
Sword of the Stranger (movie)	unknown
Legend of the Galactic Heroes: Overture to a New War (movie)	SUNTORY
Haibane Renmei (TV)	Akihiro Yuasa
My Hero Academia (TV 2)	Toho Animation
Hunter X Hunter (OAV)	Hunter x Hunter OVA Production Committee
(The) Twelve Kingdoms (TV)	Nep 21
Cowboy Bebop: The Movie	Bandai Visual
Tokyo Godfathers (movie)	Dentsu Inc.
Toradora! (TV)	GENCO
Romeo × Juliet (TV)	Chubu-Nippon Broadcasting Co., Ltd.
Maison Ikkoku (TV)	Fuji Television Network
Major (TV)	NHK
Shōwa Genroku Rakugo Shinjū (TV)	unknown
Evangelion: 1.0 You Are (Not) Alone (movie)	Khara
Hellsing Ultimate (OAV)	G.D.H.
Shirobako (TV)	Docomo Anime Store
Chihayafuru (TV)	Nippon Television Network
Tsubasa Tokyo Revelations (OAV)	Kodansha
Katanagatari (TV)	Aniplex
Mobile Suit Gundam UC (OAV)	Bandai Visual
(The) Garden of Words (movie)	CoMix Wave Films
Gintama. (TV 5/2017)	unknown
Full Metal Panic! The Second Raid (TV)	Full Metal Panic! Film Partners
My Hero Academia (TV 3)	Toho Animation
Lupin the Third: Part 5 (TV)	Nippon Animation
Hunter X Hunter (TV)	Nippon Animation
Fate/Zero (TV 2)	Aniplex
Kimi ni Todoke - From Me to You (TV)	D.N. Dream Partners
BECK: Mongolian Chop Squad (TV)	Asatsu
ERASED (TV)	Aniplex
Den-noh Coil (TV)	Bandai Visual
(La) Maison en Petits Cubes (movie)	Robot
Bakuman. 2 (TV)	NHK
One Piece Episode of Nami: Kōkaishi no Namida to Nakama no Kizuna (special)	unknown
Attack on Titan (TV 2/2017)	Dentsu Inc.
Natsume's Book of Friends (TV)	NAS
Nodame Cantabile: Paris (TV)	Asmik Ace Entertainment, Inc.
JoJo's Bizarre Adventure: Diamond Is Unbreakable (TV)	JoJo's Bizarre Adventure DU Production Committee
Berserk (TV)	Hakusensha
Brave King GaoGaiGar Final (OAV)	Sunrise
Owarimonogatari (specials)	Aniplex
Kaiba (TV)	Madhouse
Ping Pong (TV)	Aniplex
Princess Tutu (TV)	Dentsu Inc.
Conan, the Boy in Future (TV)	NHK
Hotarubi no Mori e (movie)	Aniplex
Azumanga Daioh (TV)	Azumanga Daioh Production Committee
Full Metal Panic? Fumoffu (TV)	Ani Village
Mushishi Zoku-Shō Tokubetsu-hen: Odoro no Michi (special)	Aniplex
(The) Rose of Versailles (TV)	Tokyo Movie Shinsha
Nodame Cantabile: Finale (TV)	Asmik Ace Entertainment, Inc.
Eden of the East (TV)	Hiroko Yamada
Hunter X Hunter: G I Final (OAV)	Hunter x Hunter OVA Production Committee
Haikyu!! (TV)	Mainichi Broadcasting System
Maquia - When the Promised Flower Blooms (movie)	unknown
Natsume Yūjin-Chō Roku (TV 6)	NAS
Yuri!!! on Ice (TV)	unknown
Girls und Panzer der Film (movie)	Bandai Visual
Kimi ni Todoke 2nd Season (TV)	D.N. Dream Partners
Assassination Classroom (TV 2)	BS Fuji
Trigun (TV)	Victor Entertainment
Mob Psycho 100 (TV)	BONES
Hanasaku Iroha - Blossoms for Tomorrow (TV)	Bandai Visual
Ghost in the Shell: Stand Alone Complex: Solid State Society (movie)	Production I.G
Violet Evergarden (TV)	ABC Animation
Spice and Wolf (TV)	Spice & Wolf Production Committee
Paprika (movie)	Sony Pictures
Magnetic Rose (movie)	Studio 4°C
School Rumble: 2nd Semester (TV)	Marvelous Entertainment
R.O.D -The TV-	Aniplex
