Akitarō Daichi
Akiyuki Simbo
Atsuko Ishizuka
Atsushi Ootsuki
Atsushi Takeuchi
Ayumu Watanabe
Chiaki Kon
Chizuru Miyawaki
Ei Aoki
Eita Higashikubo
Fumitoshi Oizaki
Fumitsugu Yamaguchi
Goro Miyazaki
Goro Taniguchi
Hajime Kamegaki
Hayao Miyazaki
Heisaku Wada
Hideaki Anno
Hiro Kaburagi
Hiroaki Miyamoto
Hiroaki Sakurai
Hiromasa Yonebayashi
Hiroshi Hamasaki
Hiroshi Koujina
Hiroshi Nagahama
Hiroshi Negishi
Hiroshi Nishikiori
Hiroyuki Hata
Hiroyuki Imaishi
Hiroyuki Morita
Hiroyuki Okiura
Hiroyuki Tanaka
Hiroyuki Yamaga
Hisashi Saito
Hitoshi Nanba
Isao Nakajima
Isao Takahata
Javier Roldán
Jun Kamiya
Jun Matsumoto
Jun Shishido
Junichi Sato
Junji Nishimura
Kanji Wakabayashi
Kanta Kamei
Katsuhiro Otomo
Katsuichi Nakayama
Katsumi Tokoro
Katsushi Sakurabi
Kazuhiro Furuhashi
Kazuhiro Yoneda
Kazuhisa Takenouchi
Kazuki Akane
Kazuo Yamazaki
Kazuto Nakazawa
Kazuya Murata
Kazuya Tsurumaki
Kei Oikawa
Keiichi Hara
Keiichi Satō
Keitaro Motonaga
Keizou Kusakawa
Keizō Shimizu
Kenichi Kasai
Kenichi Kawamura
Kenichi Shimizu
Kenichi Yatagai
Kenji Kamiyama
Kenji Kodama
Kenji Nagasaki
Kenji Nakamura
Kinji Yoshimoto
Kiyoko Sayama
Kobun Shizuno
Koichi Chigira
Koichi Hatsumi
Koji Masunari
Koji Morimoto
Koji Yoshikawa
Kotomi Deai
Kou Matsuo
Kunihiko Ikuhara
Kunihiro Mori
Kunio Katō
Kyōhei Ishiguro
Kōichi Mashimo
Kōzō Kusuba
Mahiro Maeda
Makoto Satō
Makoto Shinkai
Mamoru Hamatsu
Mamoru Hatakeyama
Mamoru Hosoda
Mamoru Kanbe
Mamoru Oshii
Mari Okada
Masaaki Yuasa
Masaharu Watanabe
Masahiko Murata
Masahiro Ando
Masakazu Hashimoto
Masakazu Obara
Masaki Tachibana
Masaomi Andō
Masashi Ishihama
Masashi Koizuka
Masayuki Kojima
Masayuki Sakoi
Masayuki Yoshihara
Melissa Williamson
Michael Arias
Michael Sinterniklaas
Mitsue Yamazaki
Mitsuo Fukuda
Mitsuo Hashimoto
Mitsuo Iso
Mitsuyuki Masuhara
Miyadah Awda
Mizuho Nishikubo
Mori Masaki
Morio Asaka
Munehisa Sakai
Naokatsu Tsuda
Naoko Yamada
Naoyoshi Shiotani
Naoyuki Itou
Noboru Ishiguro
Nobutaka Nishizawa
Nobuyoshi Habara
Norihiro Naganuma
Noriyuki Abe
Osamu Dezaki
Osamu Kobayashi
Osamu Sekita
Osamu Yamasaki
Rarecho
Rie Matsumoto
Ryoji Fujiwara
Ryutaro Nakamura
Satoshi Kon
Satoshi Nishimura
Satoshi Saga
Sayo Yamamoto
Seiji Kishi
Seiji Mizushima
Shin Oonuma
Shin'ichi Masaki
Shingo Natsume
Shinichiro Watanabe
Shinji Ishihira
Shinji Kofukada
Shinji Takamatsu
Shinya Kawatsura
Shoji Kawamori
Shouji Takizawa
Shouko Nakamura
Shuhei Yabuta
Shukou Murase
Shunsuke Tada
Sunao Katabuchi
Susumu Mitsunaka
Sōichi Masui
Taichi Ishidate
Takaharu Ozaki
Takahiko Kyōgoku
Takahiro Miura
Takahiro Ōmori
Takaomi Kanasaki
Takashi Ikehata
Takashi Imanishi
Takashi Watanabe
Takayuki Hamana
Takeo Takahashi
Takeshi Furuta
Takeshi Koike
Takeyuki Kanda
Takuya Igarashi
Takuya Satō
Tatsuo Sato
Tatsuya Ishihara
Tatsuya Nagamine
Tatsuya Oishi
Tatsuyuki Nagai
Tensai Okamura
Tetsuro Araki
Tetsuya Endo
Tomochi Kosaka
Tomohiko Ito
Tomomi Mochizuki
Tomonori Sudou
Tomoyuki Itamura
Toshifumi Takizawa
Toshiya Shinohara
Toshiyuki Kato
Toshiyuki Kubooka
Toshiyuki Tsuru
Tsuneo Kobayashi
Tsutomu Mizushima
Yasuchika Nagaoka
Yasuhiro Imagawa
Yasuhiro Irie
Yasuhiro Takemoto
Yasuhiro Yoshiura
Yasuhito Kikuchi
Yasuichiro Yamamoto
Yasunao Aoki
Yoh Yoshinari
Yoichi Fujita
Yoshiaki Iwasaki
Yoshiaki Kawajiri
Yoshiaki Kyougoku
Yoshifumi Kondō
Yoshio Kuroda
Yoshitomo Kometani
Yoshitomo Yonetani
You Moriyama
Yuichiro Yano
Yukihiro Matsushita
Yukihiro Miyamoto
Yukiyo Teramoto
Yumi Kamakura
Yusuke Yamamoto
Yutaka Izubuchi
Yutaka Uemura
Yuzo Sato
Yuzuru Tachikawa
unknown
